,Title,Published_date,Views,Likes,Comments,Month
0,Power BI DAX Tip | Using Variables 💡 #dataanalysis #datascience #data #shorts,2023-08-27,1328,113,1,Aug
1,Power BI DAX Tip | Graceful Division ➗💡  #dataanalysis #investing #data #shorts,2023-08-26,2574,163,5,Aug
2,Data Informed vs. Data Driven Decision Making! 🤔📊  #dataanalysis #datascience  #data #shorts,2023-08-25,3231,221,7,Aug
3,Don't ignore this if you are building a dashboard! 📊✏  #dataanalytics #datascience #data #shorts,2023-08-24,9877,614,5,Aug
4,India is now on the moon🌝#codebasics #chandrayaan3 #chandrayaan3mission #chandrayaan #data #shorts,2023-08-24,4004,276,12,Aug
5,He became a data analyst at age 51! 👨‍⚕️➡📊😲 #dataanalytics #data #datascience #shorts,2023-08-23,4843,280,5,Aug
6,LLM Explained Simply |  What is LLM?,2023-08-22,6437,406,39,Aug
7,Top 5 BI Tools in Market! 📊  #dataanalytics #data #datascience #shorts,2023-08-22,8090,356,9,Aug
8,Should you switch to Polar from Pandas?  #dataanalytics #datascience #data #shorts,2023-08-21,9034,469,7,Aug
9,Confused : Python or SQL? #dataanalytics #data #datascience #shorts,2023-08-20,7913,535,11,Aug
10,5 Dashboarding Tips💡 #shorts #dataanalytics #data #datascience,2023-08-19,3560,275,1,Aug
11,You are missing out on a good friend #shorts #dataanalytics #data #datascience,2023-08-18,6001,433,10,Aug
12,Live Winners & Top 20 Submissions Announcement | Marketing Insights | Challenge#6 | Q & A,2023-08-17,3448,94,6,Aug
13,The Most Critical Underrated Skill for Data Analysts in 2023 | Unveiling the Secret,2023-08-16,9800,405,29,Aug
14,Real-time data project | Present Insights & get recognized by the government of Telangana | RPC#7,2023-08-11,14211,494,37,Aug
15,Data Analyst Job-Ready Checklist: Know Where You Stand! 🚀🚀,2023-08-04,40530,1831,105,Aug
16,Data Analyst at FORD after 7 years in Mechanical Engineering,2023-08-01,12642,338,16,Aug
17,SQL Tutorial For Beginners | MySQL Tutorial,2023-07-29,20014,580,57,Jul
18,Business Math & Statistics Using Excel For Data Analysts and Data Scientists,2023-07-21,22664,705,24,Jul
19,How to use ChatGPT on your data - End to End Project | OpenAI Function Calling For Beginners,2023-07-12,18698,502,38,Jul
20,OpenAI Api Crash Course For Beginners | Financial Data Extraction Tool Using OpenAI API,2023-07-05,21106,625,32,Jul
21,LangChain Crash Course For Beginners | LangChain Tutorial,2023-06-30,49114,1674,101,Jun
22,End-to-End NLP Project | Build a Chatbot in Dialogflow | NLP Tutorial | S3 E2,2023-06-23,52685,1313,147,Jun
23,Resume Challenge #5 Winner Announcement: Provide Insights to Telangana Government Tourism Department,2023-06-20,4507,82,5,Jun
24,Introduction to Chatbots | NLP Tutorial | S3 E1,2023-06-16,8065,301,22,Jun
25,How He Grew His Business 3X Using Data Analytics | Mechanical Engineer to Data Analyst,2023-06-01,10862,276,13,Jun
26,Know this before you start learning any technology 🚀,2023-05-27,12409,709,3,May
27,Hacks for Moms With a Career Break to Become a Data Analyst [Unfiltered Process],2023-05-25,13036,420,49,May
28,Will AI Replace Data Analyst Jobs?,2023-05-20,62687,1649,163,May
29,"ChatGPT vs BARD, Which is better?",2023-05-17,13477,326,38,May
30,Watch this if you have a CAREER GAP,2023-05-16,17080,1308,39,May
31,5 Ways to Learn Data Analytics By Solving Real-Life Problems,2023-05-13,16648,487,28,May
32,Static Resumes Are Dying...,2023-05-10,22562,1226,14,May
33,Codebasics Data Analyst Bootcamp is Now LIVE 🔥,2023-04-27,26076,635,287,Apr
34,Is Python Really Needed For a Data Analyst Job?,2023-04-22,27008,1065,53,Apr
35,5 Ways To Get a JOB in the USA from India,2023-04-18,70571,2303,76,Apr
36,Resume Challenge #4 Winner Announcement: Provide Insights to Management in Consumer Goods Domain,2023-03-28,3250,95,4,Mar
37,B.Com to Data Analytics Transition,2023-03-18,11498,389,41,Mar
38,GPT-4 Demo | GPT3 vs GPT4,2023-03-15,122065,1444,145,Mar
39,What is STAR schema | Star vs Snowflake Schema | Fact vs Dimension Table,2023-02-16,37204,1777,68,Feb
40,How Omdena helped her get a Data Scientist job!,2023-02-11,8472,335,29,Feb
41,Team Codebasics UNITED 🔥🎇,2023-02-08,20907,1221,23,Feb
42,Can I learn data science if I am more than 30?,2023-02-07,11745,685,96,Feb
43,How Data Analysts Build Dashboard in Real Time? | Revenue Insights | Hospitality Domain,2023-02-04,173135,5009,164,Feb
44,These folks were HIRED as Data Analysts without an interview!,2023-01-28,29756,851,38,Jan
45,Do people really get a Job via Job guarantee programs?,2023-01-24,19388,468,124,Jan
46,5 data analyst projects to land a job at 0 $ | All Materials Included,2023-01-21,96991,3901,96,Jan
47,Resume Challenge #3 Winner Announcement: Insights to the Executive Team in the Telecom Domain,2023-01-13,3024,82,1,Jan
48,Data Science Roadmap 2023 | Learn Data Science Skills in 6 Months,2023-01-12,322000,16083,613,Jan
49,B Com to Software Developer Transition,2023-01-10,7011,296,52,Jan
50,"Codebasics Live Data Quiz | 6 Jan, 7.30 pm IST, 2023",2023-01-06,3461,144,15,Jan
51,SQL Job Options | Career Paths After Learning SQL,2023-01-05,21195,616,40,Jan
52,Data Analyst Roadmap 2023 | Learn data analytics skills in 3 months,2023-01-02,276601,10397,336,Jan
53,5 Unique Python Project Ideas for Your Resume | Python Projects for Beginners to Advanced,2022-12-28,62141,2173,52,Dec
54,Which jobs are secure against ChatGPT breakthrough? 🙄,2022-12-23,23411,864,101,Dec
55,Top 8 Python Libraries You Must Know In 2023 For Data Science | Python Modules for Data Science,2022-12-22,36152,1259,40,Dec
56,"End To End Cricket Data Analytics Project Using Web Scraping, Python, Pandas and Power BI",2022-12-16,280751,7300,319,Dec
57,7 Job Options After Learning Python | Python Career Opportunities,2022-12-09,55074,1621,70,Dec
58,Codebasics Reached 700K Subscribers Mark. Thank You All 🙏,2022-12-07,8523,455,17,Dec
59,How important are Excel skills for a Data Career?,2022-11-30,15927,816,13,Nov
60,5 Ways SQL is Used In The Data Industry,2022-11-26,14338,427,15,Nov
61,What Can I Do To Survive Recession? | Impact Of Recession On Data Jobs,2022-11-22,14006,513,27,Nov
62,Future belongs to those...,2022-11-22,37035,2555,23,Nov
63,SQL Course Live Now On Codebasics.io | SQL For Beginner and Advanced Users,2022-11-17,32890,568,78,Nov
64,SQL Course Movie Trailer,2022-11-15,26572,709,88,Nov
65,Get a Data Science Interview Call Using Cold Emailing,2022-11-12,7514,275,10,Nov
66,Resume Project Challenge #2 Winner Announcement: Supply Chain Insights In FMCG Domain,2022-11-10,4909,126,3,Nov
67,"4 Tips For Building Powerful Data Science Projects. Ft. Nick Singh (Ex. Facebook, Google)",2022-11-05,10594,331,13,Nov
68,fastText tutorial | Text Classification Using fastText | NLP Tutorial For Beginners - S2 E13,2022-10-28,15595,504,39,Oct
69,fastText Tutorial | Train Custom Word Vectors in fastText | NLP Tutorial For Beginners - S2 E12,2022-10-22,18060,380,39,Oct
70,Free data analytics project for your resume with FMCG / Supply Chain dataset | Challenge #2,2022-10-12,24895,594,33,Oct
71,News classification using Gensim word vectors: NLP Tutorial For Beginners - S2 E11,2022-10-11,9839,377,34,Oct
72,Resume Project Challenge Winner Announcement: Revenue Insights In Hospitality Domain,2022-10-10,6694,151,6,Oct
73,Word vectors in Gensim overview: NLP Tutorial For Beginners - S2 E10,2022-10-05,10604,374,20,Oct
74,News classification using Spacy word vectors: NLP Tutorial For Beginners - S2 E9,2022-10-01,12943,407,28,Oct
75,Word vectors in Spacy overview: NLP Tutorial For Beginners - S2 E8,2022-09-28,11221,249,12,Sep
76,AI/Ml Career Insights From Google's AI Cloud Solution Services Head - India,2022-09-24,11829,276,15,Sep
77,Free data analytics project for your resume with hospitality dataset | Challenge #1,2022-09-21,20540,587,16,Sep
78,3 Important things to get your resume picked,2022-09-19,6629,283,7,Sep
79,Three excellent websites to practice SQL interview questions 🔥,2022-09-17,15583,951,8,Sep
80,NVIDIA GPU Giveaway | World's Biggest FREE AI Conference - NVIDIA GTC Fall 2022,2022-09-16,5799,186,110,Sep
81,Build a Stand-Out Data Science Project Portfolio With Omdena,2022-09-14,30810,971,35,Sep
